Сводная таблица VLE: вода + этанол (96%) + н-гексан (1 атм),,,,,,,
№ опыта,"x_вода,%","x_спирт,%","x_гексан,%","y_вода,%","y_спирт,%","y_гексан,%","Σy,%"
1,3.75,15.45,80.80,2.03,15.02,82.95,100.00
2,10.18,33.06,56.76,6.82,17.14,76.04,100.00
3,11.84,47.52,40.64,7.09,15.88,77.03,100.00
4,1.59,38.21,60.20,6.37,14.56,79.08,100.00
5,7.00,49.77,43.22,14.89,26.71,58.40,100.00
6,14.08,51.81,34.11,4.27,17.15,78.58,100.00
7,10.73,11.48,77.80,3.91,14.08,82.01,100.00
8,29.70,5.86,64.44,6.42,7.40,86.19,100.00
9,23.49,71.36,5.15,4.19,95.81,0.00,100.00
10,52.85,42.18,4.97,28.50,71.50,0.00,100.00
11,2.38,2.68,94.94,3.64,11.70,84.65,100.00
12,3.79,1.05,95.15,0.22,1.00,98.78,100.00
13,35.09,32.10,32.81,7.39,15.77,76.84,100.00
