Temperature,x1,x2,y1,y2
°C,mol fract.,mol fract.,mol fract.,mol fract.
56.8784,0.121877,0.243059,0.121877,0.243059
56.9074,0.111776,0.261139,0.115133,0.251309
56.9661,0.104099,0.310742,0.104135,0.26312
57.0192,0.106096,0.370687,0.0977088,0.269624
57.0395,0.11189,0.430403,0.0932357,0.273556
57.0916,0.11939,0.489932,0.0900591,0.276986
57.1165,0.127814,0.549337,0.0876302,0.279265
57.1388,0.136789,0.608662,0.0857556,0.280999
58.2041,0.146321,0.667899,0.0833745,0.305565
61.6727,0.156952,0.726949,0.0895643,0.377848
67.2192,0.168891,0.785747,0.108579,0.505062
78.2285,0.220676,0.779324,0.18834,0.81166
78.3233,0.256085,0.743915,0.209509,0.790491
78.4794,0.298512,0.701488,0.23558,0.76442
78.6712,0.340938,0.659062,0.260039,0.739961
78.893,0.383365,0.616635,0.282584,0.717416
79.1421,0.425791,0.574209,0.303441,0.696559
79.4165,0.468217,0.531783,0.322823,0.677177
79.715,0.510644,0.489356,0.340947,0.659053
80.0376,0.55307,0.44693,0.358043,0.641957
80.386,0.595497,0.404503,0.374372,0.625628
80.765,0.637923,0.362077,0.390259,0.609741
81.1838,0.680349,0.319651,0.406138,0.593862
81.6599,0.722776,0.277224,0.42263,0.57737
82.2246,0.765202,0.234798,0.440694,0.559306
82.9342,0.807629,0.192371,0.461916,0.538084
83.8933,0.850055,0.149945,0.489132,0.510868
85.3073,0.892481,0.107519,0.527969,0.472031
87.6185,0.934908,0.0650922,0.591321,0.408679
91.9608,0.977334,0.0226658,0.71679,0.28321
100.348,1,0,1,0
78.7772,0.410942,0.601786,0.299893,0.700107
79.1421,0.425791,0.574209,0.303441,0.696559
71.7148,0.398214,0.589058,0.22517,0.50665
79.1421,0.425791,0.574209,0.303441,0.696559
56.8784,0.121877,0.243059,0.121877,0.243059
56.907,0.118513,0.275636,0.114724,0.251735
56.9242,0.129739,0.330609,0.11064,0.256233
56.9369,0.145311,0.38855,0.108116,0.258908
56.9495,0.162147,0.446139,0.106349,0.260806
56.956,0.179596,0.503546,0.105044,0.262126
56.9664,0.19739,0.560846,0.104054,0.263198
56.9756,0.215403,0.618079,0.103252,0.264108
59.7081,0.234232,0.675044,0.109736,0.314386
66.5615,0.255296,0.731205,0.140103,0.452813
78.5082,0.30536,0.69464,0.239668,0.760332
78.705,0.347787,0.652213,0.263802,0.736198
78.9314,0.390213,0.609787,0.28606,0.71394
79.1847,0.43264,0.56736,0.306663,0.693337
79.4631,0.475066,0.524934,0.325828,0.674172
79.7654,0.517492,0.482508,0.34377,0.65623
80.092,0.559919,0.440081,0.360723,0.639277
80.445,0.602345,0.397655,0.376957,0.623043
80.8295,0.644772,0.355228,0.39281,0.60719
81.2562,0.687198,0.312802,0.408738,0.591262
81.744,0.729624,0.270376,0.425408,0.574592
82.3273,0.772051,0.227949,0.443852,0.556148
83.0684,0.814477,0.185523,0.465802,0.534198
84.0832,0.856904,0.143096,0.494403,0.505597
85.6023,0.89933,0.10067,0.536012,0.463988
88.1334,0.941756,0.0582436,0.605655,0.394345
93.0309,0.984183,0.0158172,0.749614,0.250386
100.348,1,0,1,0
79.3789,0.502643,0.510085,0.340024,0.659976
79.7654,0.517492,0.482508,0.34377,0.65623
69.0078,0.489915,0.497357,0.222778,0.412757
79.7654,0.517492,0.482508,0.34377,0.65623
56.8784,0.121877,0.243059,0.121877,0.243059
56.8947,0.125263,0.253685,0.120914,0.244547
56.8931,0.151458,0.303458,0.119632,0.246025
56.8954,0.180711,0.355843,0.119084,0.246705
56.8933,0.210278,0.408052,0.11871,0.247092
56.8928,0.239979,0.460185,0.118445,0.247383
56.8918,0.269754,0.512276,0.118243,0.247592
56.8915,0.299574,0.564341,0.118134,0.247709
57.3461,0.329502,0.616344,0.119742,0.254848
78.8785,0.380758,0.619242,0.28125,0.71875
79.126,0.423184,0.576816,0.302204,0.697796
79.3989,0.465611,0.534389,0.321671,0.678329
79.696,0.508037,0.491963,0.339866,0.660134
80.0171,0.550464,0.449536,0.357018,0.642982
80.3638,0.59289,0.40711,0.373385,0.626615
80.7407,0.635316,0.364684,0.389289,0.610711
81.1566,0.677743,0.322257,0.405152,0.594848
81.6285,0.720169,0.279831,0.421583,0.578417
82.1865,0.762596,0.237404,0.439514,0.560486
