T	x1	x2	x3	y1	y2	y3	gamma1	gamma2	gamma3
56.92	3.75	15.45	80.8	2.03	15.02	82.95	3.136	2.415	1.511
56.92	10.18	33.06	56.76	6.82	17.14	76.04	3.882	1.288	1.972
56.89	11.84	47.52	40.64	7.09	15.88	77.03	3.474	0.831	2.793
57.17	1.59	38.21	60.2	6.37	14.56	79.08	22.941	0.936	1.917
62.87	7.0	49.77	43.22	14.89	26.71	58.4	9.376	1.021	1.631
56.89	14.08	51.81	34.11	4.27	17.15	78.58	1.76	0.823	3.395
57.34	10.73	11.48	77.8	3.91	14.08	82.01	2.07	2.988	1.53
59.19	29.7	5.86	64.44	6.42	7.4	86.19	1.127	2.829	1.824
78.79	23.49	71.36	5.15	4.19	95.81	0.0	0.4	1.317	0.0
83.06	52.85	42.18	4.97	28.5	71.5	0.0	1.022	1.408	0.0
