T	x1	x2	x3	y1	y2	y3	p1	p2	p3	gamma1	gamma2	gamma3
56.92	3.75	15.45	80.8	2.03	15.02	82.95	17488.11	40795.7	68826.09	3.136	2.415	1.511
56.92	10.18	33.06	56.76	6.82	17.14	76.04	17488.11	40795.7	68826.09	3.882	1.288	1.972
56.89	11.84	47.52	40.64	7.09	15.88	77.03	17463.48	40739.73	68755.72	3.474	0.831	2.793
57.17	1.59	38.21	60.2	6.37	14.56	79.08	17694.53	41264.6	69414.71	22.941	0.936	1.917
62.87	7.0	49.77	43.22	14.89	26.71	58.4	22986.99	53261.58	83951.37	9.376	1.021	1.631
56.89	14.08	51.81	34.11	4.27	17.15	78.58	17463.48	40739.73	68755.72	1.76	0.823	3.395
57.34	10.73	11.48	77.8	3.91	14.08	82.01	17836.06	41586.04	69817.23	2.07	2.988	1.53
59.19	29.7	5.86	64.44	6.42	7.4	86.19	19438.67	45223.28	74318.2	1.127	2.829	1.824
78.79	23.49	71.36	5.15	4.19	95.81	0.0	45183.8	103293.23	137471.91	0.4	1.317	0.0
83.06	52.85	42.18	4.97	28.5	71.5	0.0	53487.12	121954.51	155556.9	1.022	1.408	0.0
57.86	2.38	2.68	94.94	3.64	11.7	84.65	18274.89	42582.47	71059.97	8.48	10.388	1.271
68.63	3.79	1.05	95.15	0.22	1.0	98.78	29618.92	68245.09	100973.99	0.199	1.414	1.042
57.3	35.09	32.1	32.81	7.39	15.77	76.84	17802.68	41510.22	69722.36	1.199	1.199	3.403
84.3	67.01	16.51	16.48	14.97	43.29	41.74	56120.95	127871.0	161138.1	0.403	2.078	1.593
100.35	90.37	4.61	5.02	70.56	18.06	11.38	100970.77	228558.69	248198.75	0.784	1.737	0.925
78.79	14.89	70.02	15.09	13.18	83.19	3.63	45183.8	103293.23	137471.91	1.985	1.165	0.177
57.47	15.95	14.14	69.91	6.45	19.11	74.43	17944.93	41833.28	70126.29	2.283	3.273	1.538
86.33	40.41	19.72	39.87	21.11	29.1	49.78	60662.66	138070.91	170606.95	0.873	1.083	0.742
57.95	16.69	12.57	70.73	13.27	4.89	81.84	18351.75	42756.96	71276.82	4.39	0.922	1.645
57.22	24.05	27.61	48.33	17.22	29.87	52.91	17736.06	41358.92	69532.91	4.091	2.65	1.595
57.1	20.73	33.03	46.24	8.77	14.51	76.72	17636.53	41132.85	69249.49	2.431	1.082	2.428
